;x;y;z
Panticosa_M_F58_od;0,018750686;-0,022408567;0,092440047
Panticosa_M_F68_od;0,008385681;-0,018339245;0,113140595
Panticosa_M_F69_od;0,003937729;-0,02158978;0,091633116
Panticosa_M_F70_od;-0,013867094;-0,016519437;0,171020398
Panticosa_M_F78_od;-0,011593116;-0,017181419;0,130157489
Panticosa_M_F80_od;-0,014356484;-0,013635244;0,117019989
Panticosa_M_F81_od;0,017669065;-0,023658958;0,160086651
Panticosa_M_F83_od;-0,021081292;-0,016244635;0,155485479
Panticosa_M_F86_od;0,051543254;-0,023978094;0,074883687
Biados_M_F12_od;0,022185004;-0,021932874;0,115799308
Biados_M_F16_od;0,012456621;-0,013949639;0,123598563
Biados_M_F18_od;0,009199347;-0,020871346;0,082741757
Biados_M_F19_od;-0,019945715;-0,013048595;0,099540964
Biados_M_F22_od;0,062018483;-0,037949253;0,06565104
Biados_M_F23_od;0,042190832;-0,016057318;0,072837272
Biados_M_F24_od;0,031108397;-0,010734894;0,056713471
Biados_M_F25_od;0,047932658;-0,023450151;0,069162951
Biados_M_F26_od;0,014327186;-0,020848945;0,10822908
Biados_M_F30_od;0,024680673;-0,027563248;0,139178553
Biados_M_F31_od;0,023653419;-0,018839132;0,103591365
Biados_M_F34_od;-0,016638341;-0,018867658;0,126930671
Biados_M_F35_od;-0,001400243;-0,025044228;0,130405557
Biados_M_F36_od;0,015434835;-0,018270864;0,112452229
Biados_M_F37_od;0,027255603;-0,020019777;0,080730205
Biados_M_F40_od;0,038148484;-0,027666597;0,090930034
Biados_M_F41_od;0,054658953;-0,031675845;0,101804697
Biados_M_F42_od;0,053869241;-0,017340349;0,041897805
Biados_M_F43_od;0,048783385;-0,022728925;0,119331563
Biados_M_F44_od;0,042031131;-0,022421865;0,102268596
Biados_M_F45_od;0,042905147;-0,022998459;0,077494656
Biados_M_F46_od;0,050698607;-0,031281845;0,074613975
Biados_M_F47_od;0,046518658;-0,028287584;0,093101042
Biados_M_F49_od;0,0530059;-0,021899393;0,041651357
Biados_M_F53_od;0,01003279;-0,017124022;0,118476042
Biados_M_F54_od;0,004315696;-0,015540047;0,136660505
Biados_M_F55_od;0,00327979;-0,021639829;0,127064968
Biados_M_F57_od;0,010369087;-0,020980903;0,123729894
Biados_M_F58_od;0,057062926;-0,030958804;0,074506572
Biados_M_F60_od;0,028795126;-0,019112836;0,101609975
Campdevanol_M_CvE92_od;0,010760327;-0,018192832;0,101293502
Campdevanol_M_CvE83_od;0,042402502;-0,022251106;0,06562065
Campdevanol_M_CvE72_od;0,080275433;-0,035314392;0,051646945
Campdevanol_M_CvE77_od;0,104780132;-0,034014025;-0,005526587
Campdevanol_M_CvE93_od;0,055574183;-0,021750207;0,077186569
Campdevanol_M_CvE37_od;0,069566272;-0,032818594;0,075112702
Campdevanol_M_CvE59_od;0,06992129;-0,031839471;0,03567331
Campdevanol_M_CvE25_od;0,04960386;-0,020191714;0,031250541
Campdevanol_M_CvE70_od;0,043461847;-0,016277803;0,032570282
Campdevanol_M_CvE8_od;0,086747406;-0,036760535;0,029216093
Campdevanol_M_CvE39_od;-0,010175679;-0,020953324;0,151255599
Campdevanol_M_CvE97_od;0,048100535;-0,020204966;0,099401908
Campdevanol_M_CvE29_od;0,049842843;-0,018713834;0,040336519
Campdevanol_M_CvE35_od;0,050991914;-0,028513751;0,134484626
Campdevanol_M_CvE79_od;0,047675578;-0,019205606;0,102863667
Campdevanol_M_CvE61_od;0,007023596;-0,020764697;0,114996468
Campdevanol_M_CvE87_od;0,009937844;-0,018349057;0,157261937
Campdevanol_M_CvE14_od;0,062482536;-0,019628987;0,003480465
Campdevanol_M_CvE23_od;0,051721038;-0,03057296;0,118997427
Campdevanol_M_CvE66_od;0,047760789;-0,023280519;0,11762737
Campdevanol_M_CvE13_od;0,085499523;-0,025553592;-0,021504729
Campdevanol_M_CvE80_od;0,076566516;-0,026667671;0,041788425
Campdevanol_M_CvE91_od;0,066527988;-0,024390537;0,022743079
Campdevanol_M_A71_oe;0,100542139;-0,020010275;-0,005755403
Campdevanol_M_A27_oe;0,087665157;-0,032614164;0,010261768
Campdevanol_M_A22_oe;0,067012993;-0,026625955;0,036236914
Campdevanol_M_CamP26_oe;0,079329472;-0,022491403;0,010092614
Campdevanol_M_D8_oe;0,044321801;-0,029803477;0,067802441
Campdevanol_M_D25_oe;0,033038324;-0,020988875;0,142470961
Cd34_M_od;0,096920294;-0,030086041;0,011712492
