;x;y;z
G24_F_gbuv;0,070598212;-0,028330217;-0,035947758
G13_F_vbuv;0,093117686;-0,036182302;-0,049345343
G22_M_gbuv;0,072042153;-0,027742458;-0,049341629
G37_M_vbuv;0,094068535;-0,032374294;-0,087745524
G49_F_vbuv;0,08055391;-0,032972268;-0,046745851
G101_F_vbuv_rosat;0,113655833;-0,043254256;-0,065743606
G104_M_gbuv;0,092048852;-0,032070431;-0,095131465
G23_M_gbuv;0,064394608;-0,026026697;-0,03580841
G14_M_vb;0,113809893;-0,03478872;-0,191966835
G84_F_vbt_buv;0,124624474;-0,042362754;-0,082805011
G21_M_vb;0,093472322;-0,030616585;-0,178393801
G2_F_gb;0,092379622;-0,030085616;-0,169856768
G7_F_gb;0,122351318;-0,041628541;-0,166110702
G103_F_gb;0,134224411;-0,037543259;-0,193682999
G15_F_gb;0,099866057;-0,034641943;-0,152740034
G51_F_gb;0,113678728;-0,035394485;-0,176661133
G10_F_gb;0,09619563;-0,030087726;-0,169880931
G33_F_gb;0,096185445;-0,032562356;-0,168665251
G13_F_grosat;0,137058731;-0,054987042;-0,103924435
G104_M_vb;0,095948165;-0,029215016;-0,150773802
G58_F_vrosat;0,139248777;-0,048437029;-0,117840066
G5_M_vb;0,116487998;-0,041315507;-0,135844085
G14_M_gb;0,125200315;-0,042444967;-0,179780751
G12_F_gb;0,097592071;-0,030600797;-0,124598801
G20_F_gb;0,101168959;-0,035326927;-0,127403694
G102_M_vb;0,113477578;-0,035771089;-0,164730284
G36_F_gb;0,112301562;-0,037108109;-0,172371307
G25_F_gb;0,106761191;-0,037983526;-0,135683017
G34_M_gb;0,108885583;-0,038300932;-0,160923674
G21_M_gb;0,088352252;-0,031145909;-0,156051509
G34_M_vb;0,111802966;-0,035047365;-0,168066255
G53_M_gb;0,109331598;-0,03787734;-0,152215603
G5_M_gb;0,118324098;-0,041280568;-0,136607274
G26_M_gb;0,08985765;-0,031241893;-0,153319869
G17_M_gb;0,081683205;-0,029655591;-0,113898017
G53_M_vb;0,120793484;-0,039290526;-0,158801059
G17_M_vb;0,083767992;-0,030130108;-0,109464729
G52_F_gb;0,10878412;-0,032784915;-0,170425679
G16_M_vb;0,102847324;-0,034832097;-0,145218467
G56_F_vb;0,13041193;-0,045256957;-0,148899966
G102_M_gb;0,113351954;-0,039443905;-0,139424096
G26_M_vb;0,09148602;-0,033289762;-0,133869164
G56_F_gb;0,136758941;-0,040245718;-0,173422584
