"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"Civis_M_A56_vgrnc";0,121222897480935;0,192061110867554;0,253543922357725;0,433172069293786;-0,128777102519065;-0,0579388891324462;0,0035439223577247;0,183172069293786;0,147649704884419;-0,0417706839296743;-0,128777102519065;-0,275699494712181;-0,698215255282878;0,200321660140921;0,388892233600427;0,515108410076259;24,2381325332808
"ColladaToses_M_A75_vgrnc";0,14026963637983;0,199452151158203;0,249804669255172;0,410473543206796;-0,10973036362017;-0,0505478488417966;-0,000195330744828498;0,160473543206795;0,129223683832714;-0,0390027216503077;-0,10973036362017;-0,293128727182268;-0,682575293302404;0,173956102105224;0,396326268240964;0,438921454480681;27,7873012854068
"ColladaToses_M_B9_vg";0,0972691955977925;0,182981360103853;0,253937435010539;0,465812009287816;-0,152730804402208;-0,0670186398961466;0,00393743501053856;0,215812009287816;0,173197693530206;-0,0498222132497889;-0,152730804402208;-0,280098479332641;-0,703019278837093;0,236233766829884;0,38668323615938;0,61092321760883;38,410297262851
"ColladaToses_M_D6_vgrnc";0,0926599338434323;0,181059074187932;0,254567339221119;0,471713652747517;-0,157340066156568;-0,0689409258120684;0,00456733922111921;0,221713652747517;0,177988852218668;-0,0507837190629755;-0,157340066156568;-0,277934779716745;-0,704531503962641;0,242929854184576;0,385994902822206;0,629360264626271;28,175252912028
"ColladaToses_M_E6_vg";0,114598404492848;0,176480239453968;0,252377089052603;0,456544267000581;-0,135401595507152;-0,0735197605460315;0,00237708905260291;0,206544267000581;0,171503490699493;-0,0453504095004229;-0,135401595507152;-0,25851164807289;-0,651936045426231;0,223167423764871;0,412047256402313;0,541606382028608;20,5086888923292
"ColladaToses_M_E75_vg";0,0474385775483131;0,190905113930575;0,273946323882319;0,487709984638793;-0,202561422451687;-0,0590948860694247;0,0239463238823189;0,237709984638793;0,181755121601966;-0,0462173657086748;-0,202561422451687;-0,249006304019019;-0,82388760440564;0,276047276724922;0,340695766972562;0,810245689806748;26,1990021384181
"ColladaToses_M_E90_vgrnc";0,118058146421144;0,203462137685437;0,257401294040142;0,421078421853276;-0,131941853578856;-0,0465378623145627;0,00740129404014223;0,171078421853276;0,133262213982928;-0,0387982318859556;-0,131941853578856;-0,283310538560397;-0,760089738000845;0,191501366049781;0,362851818538628;0,527767414315424;28,5179360770129
"Canto_M_A5_vg_mud";0,145950002848878;0,183875178145557;0,246479497148521;0,423695321857043;-0,104049997151122;-0,0661248218544425;-0,00352050285147884;0,173695321857043;0,146859245533518;-0,0405212864432005;-0,104049997151122;-0,269220588550514;-0,599211732013719;0,184488521488017;0,443268924890182;0,416199988604487;23,9838372136691
"Canto_M_E87_vgrnc";0,141543277465147;0,191581175195029;0,250160918185144;0,41671462915468;-0,108456722534853;-0,0584188248049714;0,0001609181851439;0,16671462915468;0,137865521557879;-0,0381745624749339;-0,108456722534853;-0,270129068544961;-0,648701125368026;0,179518968127551;0,413803229370734;0,433826890139411;29,7871562813747
"CortalMateu_M_33_vg";0,106336047990897;0,196924472385095;0,264944206975873;0,431795272648135;-0,143663952009103;-0,053075527614905;0,0149442069758727;0,181795272648135;0,143828404030898;-0,0349421522007053;-0,143663952009103;-0,238326148642621;-0,770492015915965;0,206268986794832;0,358943534390871;0,574655808036411;32,6104561287565
