"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"CortalMateu_F_E72_vt";0,164941030244384;0,204253829583513;0,241941708422066;0,388863431750037;-0,0850589697556162;-0,0457461704164866;-0,00805829157793434;0,138863431750037;0,113049831731546;-0,0386199960867726;-0,0850589697556162;-0,329189229994153;-0,618735671071934;0,14665195835092;0,431030256927245;0,340235879022465;25,8318761910949
"CortalMateu_M_37_vt";0,101538730728453;0,130882773133421;0,190939928514301;0,576638567623826;-0,148461269271547;-0,119117226866579;-0,0590600714856991;0,326638567623826;0,272968561597603;-0,115131650690087;-0,148461269271547;-0,399136919177938;-0,464548259924984;0,331372722300746;0,558012072654854;0,59384507708619;18,6528730276228
"CortalMateu_M_40_vt";0,158735269898747;0,135254399931413;0,179018448378485;0,526991881791355;-0,091264730101253;-0,114745600068587;-0,070981551621515;0,276991881791355;0,23988923591991;-0,107554259504952;-0,091264730101253;-0,421480662196135;-0,334133868407261;0,278287648321573;0,606314421109027;0,458982400274347;17,494602223749
"CortalMateu_M_43_vt";0,13123625526326;0,0987957218243399;0,15493885310529;0,61502916980711;-0,11876374473674;-0,15120427817566;-0,0950611468947103;0,36502916980711;0,316127133928847;-0,142816897026159;-0,11876374473674;-0,424325256566821;-0,329858390261179;0,366657684968065;0,60622901909909;0,60481711270264;16,1394162375063
"CortalMateu_M_53_vt";0,0997962874895606;0,124489695856318;0,190279768616967;0,585434248037154;-0,150203712510439;-0,125510304143682;-0,0597202313830328;0,335434248037154;0,282269738139686;-0,116447902715221;-0,150203712510439;-0,39127080641795;-0,457156928550206;0,340290279567518;0,566381272939354;0,600814850041758;23,8776364347748
"CortalMateu_M_94_vatrnj";0,106251868083262;0,173076975351295;0,222717206517458;0,497953950047985;-0,143748131916738;-0,0769230246487052;-0,0272827934825418;0,247953950047985;0,198945704296493;-0,0797604118524381;-0,143748131916738;-0,381295331842169;-0,590761094671119;0,258078751520636;0,448838444158218;0,574992527666951;26,6932295339088
"CortalMateu_M_A22_vt";0,147020075538802;0,139178823840339;0,190949495120279;0,522851605500579;-0,102979924461198;-0,110821176159661;-0,0590505048797208;0,272851605500579;0,234950635815462;-0,0990414201057054;-0,102979924461198;-0,398937539282174;-0,383852147430477;0,27498339769644;0,620331346466377;0,443284704638644;19,6734534231309
"CortalMateu_M_A25_vt_mud";0,182810708359259;0,172810978970946;0,207031607220416;0,437346705449379;-0,0671892916407412;-0,0771890210290536;-0,0429683927795841;0,187346705449379;0,161994387152154;-0,0693298647378409;-0,0671892916407412;-0,404389451561714;-0,364290738322065;0,188582110828556;0,610780225977911;0,308756084116215;15,2078841709546
"CortalMateu_M_A30_vt";0,135909357939306;0,151795941293297;0,198804123443475;0,513490577323923;-0,114090642060694;-0,0982040587067032;-0,0511958765565254;0,263490577323923;0,221491825244178;-0,0946385605583847;-0,114090642060694;-0,403798460705475;-0,44236589056872;0,266517842555395;0,584004607524279;0,456362568242776;21,9769075165513
"CortalMateu_M_A39_vt";0,116189294684523;0,10689890062327;0,166147991380318;0,610763813311889;-0,133810705315477;-0,14310109937673;-0,0838520086196822;0,360763813311889;0,308552983844778;-0,136247714428599;-0,133810705315477;-0,415821389259211;-0,377672416703054;0,362868693033112;0,633937640265465;0,57240439750692;17,4736994624513
"CortalMateu_M_A6_vtatrnj";0,178857406973036;0,146092431801609;0,184464603404733;0,490585557820622;-0,0711425930269639;-0,103907568198391;-0,0655353965952674;0,240585557820622;0,210958094660721;-0,0946634899906755;-0,071142593026964;-0,421798333659871;-0,298486195184155;0,241920984171892;0,58205814159271;0,415630272793562;10,8358215981338
"CortalMateu_M_A8_vt";0,111744827818289;0,128691616518531;0,190405733164976;0,569157822498205;-0,138255172181711;-0,121308383481469;-0,059594266835024;0,319157822498205;0,269729363397459;-0,11208985019023;-0,138255172181711;-0,393851318757171;-0,442082088986685;0,323160264620298;0,584354746952184;0,553020688726845;26,8510886894779
