;x;y;z
H4_M_gbuv;0,099346616;-0,03377706;-0,101877954
H4_M_glatb;0,092238169;-0,028222503;-0,085748461
H4_M_vt;0,259274976;-0,10702021;-0,158426198
H4_M_ocele;0,072731053;-0,018144057;0,020458894
H4_M_oe;0,048494975;-0,010421788;0,065253811
H4_M_dv;0,214712735;-0,018790547;-0,184094805
H4_M_dldg;0,207318577;-0,047038773;-0,204290781
H4_M_lm;0,145333516;-0,042533444;-0,159879111
H4_M_oceld;0,047647372;-0,014719885;0,033177054
H4_M_od;0,045456586;-0,01169677;0,075793031
G90_F_gg;0,159013697;-0,03743673;-0,132336945
G90_F_glatg;0,172840217;-0,03948502;-0,13687169
G90_F_vgrnc;0,146473743;-0,034113712;-0,147759593
G90_F_ocele;0,112642974;-0,036497619;-0,011227277
G90_F_dv;0,255010469;-0,069640689;-0,18945313
G90_F_dldg;0,151208156;-0,039000099;-0,196781287
G90_F_lm;0,21033407;-0,069445159;-0,162147902
G90_F_oceld;0,113163292;-0,039749182;-0,00443588
H80_F_ggv;0,155311103;-0,03374593;-0,119094154
H80_F_glatv;0,190039591;-0,029160653;-0,149088401
H80_F_vbuv;0,122388111;-0,034760654;-0,119110902
H80_F_dv;0,282996589;-0,025391198;-0,207898721
H80_F_dldg;0,219821239;-0,054093181;-0,207755181
H80_F_lm;0,191763848;-0,059859392;-0,164088947
F60_M_gbuv;0,110621576;-0,037126601;-0,093600012
F60_M_glatv;0,232671924;-0,03020624;-0,16408213
F60_M_vt;0,24113446;-0,089074908;-0,166003444
F60_M_dv,,,139;0,187155834;-0,000458433;-0,190139858
F60_M_oev;0,150743833;-0,017514926;-0,090856419
F60_M_dv,,,141;0,224119383;-0,001241065;-0,207477617
F60_M_dldv;0,236773605;-0,041204115;-0,217133845
F60_M_lv;0,255799422;-0,043293079;-0,191065696
F60_M_odv;0,154369857;-0,005160348;-0,085857509
F36_M_gbuvgnc;0,127803106;-0,03359371;-0,086795424
F36_M_glatgv;0,271685181;-0,054629414;-0,18327781
F36_M_vg;0,205538812;-0,047567226;-0,139589149
F36_M_dv,,,148;0,275032051;-0,018265134;-0,212784294
F36_M_ocele;0,069555137;-0,014584768;0,074780149
F36_M_oe;0,084674355;-0,023647668;0,061335982
F36_M_dv,,,151;0,273853846;-0,019509687;-0,207341859
F36_M_dldg;0,203820243;-0,046475787;-0,218379602
F36_M_lm;0,177959479;-0,05297512;-0,178904704
F36_M_oceld;0,086059211;-0,019754946;0,035789487
F36_M_od;0,085717869;-0,023820711;0,086669357
H86_M_gbuv;0,096434742;-0,029532553;-0,086079321
